particle_index,current_scaled
28,0.6619215913776535
29,0.3780759403108371
30,0.37808191198356955
31,0.37808655684740855
32,0.3780826423502854
33,0.37808124870194953
34,0.5357647412305576
36,0.5357779494117969
37,0.5033688564460823
38,0.5033483840081371
39,0.37808655684782316
40,0.3780825940627479
41,0.3780812487037493
42,0.3780824759768494
43,0.3780865568469143
44,0.44089536100547383
45,0.6461916105440352
52,1.2851656722565192
53,0.24950347220191207
54,0.24953532237150625
55,0.24950347220194685
56,0.24946890605912622
57,0.24949754658897116
58,0.2495329416577431
59,0.24949880084373888
60,0.3124558610670451
61,0.7087790385371915
64,0.3740055723970777
65,0.2494981001399872
66,0.24953312013644954
67,0.24949859259262286
68,0.31193395674607743
70,0.31200824417520795
71,0.3754007210832435
72,1.8306602132973688
77,0.6148962816178312
78,0.2459601053376316
79,0.2459946098217814
80,0.24596010533765972
81,0.2459454760122182
82,0.24595710132083182
83,0.24599103876313388
84,0.24595781205171438
85,0.36853029480232113
89,0.5269566161071478
90,0.24595746170690086
91,0.24599130648029402
92,0.2459576042120818
93,0.24593945956945262
94,0.3083287317504486
95,0.2459334777959147
96,0.30740938174975424
102,0.6044234423942475
103,0.24176380325573404
104,0.2417505324319889
105,0.24176380325571664
106,0.24178108611928537
107,0.24176676603234237
108,0.24175198568338563
109,0.24176613891127957
110,0.5182822854919589
114,0.36307123806378644
115,0.24176648925962427
116,0.2417498548676881
117,0.24174522358886982
118,0.24174522358886982
119,0.24174522358886982
120,0.24174785645532504
121,0.2417452235888693
122,0.8797556854750216
127,1.185215766200112
128,0.23706320125790806
129,0.23707912666370604
130,0.23706452833494673
131,0.23706054648799585
132,0.2370630056775133
133,0.23707793629482682
134,0.237063402879468
135,0.35602015634801026
138,0.7417217358848598
139,0.2370710604161923
140,0.23710029640783584
141,0.23713531732485887
142,0.23710078887536168
143,0.23705906870739976
144,0.23701995887065214
145,0.23701011732092614
146,0.23701011715358802
147,0.5925252926651328
153,0.34749497660760664
154,0.23192465522849792
155,0.2319246552284976
156,0.2319246552013283
157,0.23192465522849773
158,0.231924655228498
159,0.231924655228498
160,0.23192465520196195
161,0.3505352529314345
162,0.6052891385394478
164,0.31858497394079643
165,0.231924655228498
166,0.23192465522849848
167,0.231924655228498
168,0.23192465520181166
169,0.231924655228498
170,0.231924655228498
171,0.231924655228497
172,0.8359963181361098
178,1.3779406669566585
179,0.3363002274006956
180,0.3643277119656187
181,0.3089083255417025
182,0.22635581886756231
183,0.28179409635844976
184,0.22639972006559464
185,0.22640799062764985
186,0.5226753393123178
189,0.3959418709388291
190,0.22631769977354382
191,0.226313660041311
192,0.22631747294205865
193,0.22633091904087554
194,0.22631652663510546
195,0.22631366004131093
196,0.2827003087928739
207,0.33014739638843105
209,0.2751744754086463
210,0.27525301428291676
214,0.6755797006496417
215,0.22014002356017695
216,0.2201040679766905
217,0.22009325878693403
218,0.2200932597428153
219,0.22009325865146848
220,0.22008789825059133
221,0.22005874121313304
222,0.8019272916936773
229,0.6075717102679897
231,0.41797052034711546
232,0.2142899110942815
233,0.26891034083168847
234,0.214290429008934
235,0.21427567848022125
236,0.5042133689725824
240,0.32100813577834936
241,0.21424247868274185
242,0.21421889309694955
243,0.21421056502032745
244,0.2142210089825526
245,0.21423731079395408
246,0.3197314026126533
247,1.0587227501645262
253,1.8700554081522618
254,0.36318610501189974
255,0.3658036141660678
256,0.3121586175135827
257,0.3121752464681874
258,0.31221452418027623
259,0.3122234398027635
260,0.36319970657937045
261,0.3631873980439512
262,0.7876286107569593
265,0.5734354963015571
266,0.31221498658756663
267,0.31217603797264315
268,0.3121525892614618
269,0.312139178815316
270,0.468021185761762
305,0.45354646326727166
306,0.3022175649830012
307,0.30224660042633983
308,0.30229472280246183
309,0.676983176843604
312,0.55373891597753
313,0.35368177404486756
314,0.3540549827609215
315,0.30222881535119306
316,0.3022226651370782
317,0.30220751788638633
318,0.30220096890218107
319,0.30216366634427944
320,0.3021439685500348
321,0.353478534420512
322,1.0122198402581528
326,1.3691727454026226
329,0.6108168411370668
330,0.1966348947881183
331,0.19662499645517842
332,0.19663351533396722
333,0.2458124980362279
337,0.39191627559340775
338,0.29327094256447184
339,0.19667290433399548
340,0.1966334944228043
341,0.19658723607945508
342,0.19654305438392428
343,0.19652591237821573
344,0.19654626643755874
345,0.1965768849966769
346,0.19654626643756345
347,0.8051075534495998
352,1.0670908080051884
354,0.3971373190550018
355,0.19322920592422912
356,0.19321905509723697
357,0.19325526345250665
358,0.19329065887802244
359,0.2667562460624929
360,0.3404355249730406
361,0.5303574751490293
364,0.4087170445806279
365,0.1932558170091017
366,0.19329083735852778
367,0.19325630946670133
368,0.19321970863210355
